,Data Source,Import/Export,Date,HS Code,Product Description,Purchaser,Supplier,Weight,Quantity,Amount,Destination,Origin,Product,Month/Year
0,All of Vietnam,Export,2024-05-31,20060000.0,"Xoài lát sấy khô ( đã tẩm đường) - DRIED MANGO SLICES 5OZ*24 túi/thùng. tổng 5880 thùng, Hàng mới 100%#&VN",Expo Commodities Dmcc,Công ty TNHH MTV Tam Ngọc,,20039.04,2049.2,Vietnam,Vietnam,Xoài sấy,2024-05
1,All of Vietnam,Export,2024-05-31,20060000.0,"""DRIED MANGO (INCLUDES 1 BAG 1000G- XOÀI SẤY) (THANH LONG) -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Lux Nail Spa // Kieu Tran,Công ty TNHH Thương Mại-Dịch Vụ Long Hưng Phát,,1.0,0.1,United States of America,Vietnam,Xoài sấy,2024-05
2,All of Vietnam,Export,2024-05-31,20060000.0,"""DRIED SOFT MANGO: XOÀI SẤY DẺO (500G/BAG) MANUFACTURED BY : XU GO PRODUCTION FACILITY -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Kim Le,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,4.0,0.4,Vietnam,Vietnam,Xoài sấy,2024-05
3,All of Vietnam,Export,2024-05-31,8045022.0,"Xoài sấy- DRIED MANGO CHUNKS , Hàng mới 100%#&VN",V. Besana S.P.A,Công ty TNHH Bigitexco,,2.0,380.8,Italy,Vietnam,Xoài sấy,2024-05
4,All of Vietnam,Export,2024-05-30,8109099.0,"""DRIED MANGO JAM, 500G/BAG - XOÀI SẤY DẺO, 500G/BAG SỐ PNC: 240502178954 PRODUCT: AI LIEN ,HÀNG CÁ NHÂN- MỚI 100%""#&VN",Nhu Thuong Huynh,Công ty TNHH Thương Mại Và Dịch Vụ Vận Chuyển Quốc Tế Ebay,,2.0,0.1,United States of America,Vietnam,Xoài sấy,2024-05
5,All of Vietnam,Export,2024-05-30,20060000.0,"""DUC THUONG DRIED MANGO - XOÀI SẤY DẺO 500G/BAG MNF: CO SO SAN XUAT DUC THUONG -HÀNG CÁ NHÂN, MỚI 100% ""#&VN",Be Pham,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,4.0,0.3,Vietnam,Vietnam,Xoài sấy,2024-05
6,All of Vietnam,Export,2024-05-30,8045022.0,"Xoài sấy dẻo - DRIED MANGO (140G x 20 túi/thùng) 2.8kg/thùng, không nhãn hiệu, hàng mới 100%#&VN","Anmin Co., Ltd.",Cty Tnhh Mtv Viễn Hồng,,80.0,59.0,Hong Kong,Vietnam,Xoài sấy,2024-05
7,All of Vietnam,Export,2024-05-30,20089990.0,"XOÀI SẤY DẺO - Soft Dried Mango DICE 3 kg x 4 bags/carton, Hàng mới 100%#&VN","Taiwan Rich Village Confectionery Industrial Co., Ltd.",Công ty TNHH Ba Sương Thống Nhất,,1200.0,163.6,Taiwan,Vietnam,Xoài sấy,2024-05
8,All of Vietnam,Export,2024-05-30,20089990.0,"XOÀI SẤY DẺO (DRIED MANGO), 2,5KG X 4/CTN. HÀNG MỚI 100%#&VN",Yulsung Food Lab Inc.,Công ty TNHH Atl Global,,13000.0,1802.4,South Korea,Vietnam,Xoài sấy,2024-05
9,All of Vietnam,Export,2024-05-29,20089940.0,"Xoài sấy dẻo OHLA-OHLA Soft Dried Mango,đã chế biến sấy khô, thái lát, tẩm đường,nsx:LUONG GIA FOOD TECHNOLOGY CORPORATION, quy cách đóng gói:100g/túi,1 thùng=20 túi,200 thùng, hàng mới 100%#&VN",D Hebronstar Malaysia Sdn.Bhd,Công ty TNHH Xây Dựng Thương Mại Xuất Nhập Khẩu Song Ngọc,,4000.0,92.9,Malaysia,Vietnam,Xoài sấy,2024-05
10,All of Vietnam,Export,2024-05-31,8045022.0,Xoài sấy dẻo - Soft-dried mango. Quy cách đóng gói: 5kg/bag. Hàng mới 100%#&VN,Gastronom 1 S.R.O.,Công ty TNHH Xuất Nhập Khẩu Tổng Hợp Nam Phú,,20.0,4.0,Malaysia,Vietnam,Xoài sấy,2024-05
11,All of Vietnam,Export,2024-05-31,8045022.0,Xoài sấy dẻo - Soft-dried mango. Quy cách đóng gói: 100g/bag. Hàng mới 100%#&VN,Gastronom 1 S.R.O.,Công ty TNHH Xuất Nhập Khẩu Tổng Hợp Nam Phú,,100.0,27.7,Vietnam,Vietnam,Xoài sấy,2024-05
12,All of Vietnam,Export,2024-05-31,8045022.0,"Xoài sấy dẻo (Soft dried Mango). Đóng 30gr/túi, 10 túi/ hộp case box, 20 hộp/thùng carton. Hàng mới 100%#&VN",Soul Fruit Ltd,Công Ty Cp Nafoods Group,,44600.0,396.4,Vietnam,Vietnam,Xoài sấy,2024-05
